L4 country,L5 province,L6 district,Abbreviation,Notes,ISOcode,Swedish county,Swedish municipality,Decimal latitude,Decimal longitude,Notes,Category
Sweden,Bohuslän,Herrestad,,,SE,Västra Götalands län,Uddevalla,58.3461768500867,11.8412746494503,,L6 district
Sweden,Bohuslän,Hjärtum,,,SE,Västra Götalands län,Lilla Edet,58.1819330310853,12.112459267518,,L6 district
Sweden,Bohuslän,Hogdal,,,SE,Västra Götalands län,Strömstad,59.0265534494023,11.2325313518022,,L6 district
Sweden,Bohuslän,Håby,,,SE,Västra Götalands län,Munkedal,58.492495017024,11.6203836783274,,L6 district
Sweden,Bohuslän,Hålta,,,SE,Västra Götalands län,Kungälv,57.8959555618661,11.8302421827175,,L6 district
Sweden,Bohuslän,Högås,,,SE,Västra Götalands län,Uddevalla,58.3311215230314,11.6798383659397,,L6 district
Sweden,Bohuslän,Jörlanda,,,SE,Västra Götalands län,Stenungsund,57.9825679545329,11.8297537442055,,L6 district
Sweden,Bohuslän,Kareby,,,SE,Västra Götalands län,Kungälv,57.9107120806121,11.9144365309716,,L6 district
Sweden,Bohuslän,Klädesholmen,,,SE,Västra Götalands län,Tjörn,57.9474505820687,11.5435989473604,,L6 district
Sweden,Bohuslän,Klövedal,,,SE,Västra Götalands län,Tjörn,58.0377075364186,11.5797085619975,,L6 district
Sweden,Bohuslän,Krokstad,,,SE,Västra Götalands län,Munkedal,58.6615292973304,11.7761583469313,,L6 district
Sweden,Bohuslän,Kungshamn,,,SE,Västra Götalands län,Sotenäs,58.3595229472864,11.2553295491637,,L6 district
Sweden,Bohuslän,Kungälv,,,SE,Västra Götalands län,Kungälv,57.8654952947017,11.9974372347563,,L6 district
Sweden,Bohuslän,Kville,,,SE,Västra Götalands län,Tanum,58.5679885438432,11.3697693257255,,L6 district
Sweden,Bohuslän,Käringön,,,SE,Västra Götalands län,Orust,58.111178289387,11.3660280782517,,L6 district
Sweden,Bohuslän,Lane-Ryr,,,SE,Västra Götalands län,Uddevalla,58.3947614876156,12.0628639178891,,L6 district
Sweden,Bohuslän,Ljung,,,SE,Västra Götalands län,Uddevalla,58.2178372961618,11.9110182903328,,L6 district
Sweden,Bohuslän,Lommeland,,,SE,Västra Götalands län,Strömstad,59.0704943571348,11.3260524707103,,L6 district
Sweden,Bohuslän,Lur,,,SE,Västra Götalands län,Tanum,58.8192945518069,11.3336140905134,,L6 district
Sweden,Bohuslän,Lycke,,,SE,Västra Götalands län,Kungälv,57.875804943485,11.7232004277791,,L6 district
Sweden,Bohuslän,Lyse,,,SE,Västra Götalands län,Lysekil,58.3213464097042,11.4652868400305,,L6 district
Sweden,Bohuslän,Lysekil,,,SE,Västra Götalands län,Lysekil,58.2722564933664,11.4365632307014,,L6 district
Sweden,Bohuslän,Långelanda,,,SE,Västra Götalands län,Orust,58.1522906059571,11.7919975770909,,L6 district
Sweden,Bohuslän,Malmön,,,SE,Västra Götalands län,Sotenäs,58.3486621816471,11.3388945178354,,L6 district
Sweden,Bohuslän,Marstrand,,,SE,Västra Götalands län,Kungälv,57.8867228879345,11.5850526870902,,L6 district
Sweden,Bohuslän,Mo,,,SE,Västra Götalands län,Tanum,58.703758831643,11.5597369062635,,L6 district
Sweden,Bohuslän,Mollösund,,,SE,Västra Götalands län,Orust,58.0739117793363,11.4771368025872,,L6 district
Sweden,Bohuslän,Morlanda,,,SE,Västra Götalands län,Orust,58.1940582718711,11.5099036470641,,L6 district
Sweden,Bohuslän,Myckleby,,,SE,Västra Götalands län,Orust,58.2091109108013,11.7709450367019,,L6 district
Sweden,Bohuslän,Naverstad,,,SE,Västra Götalands län,Tanum,58.7639304050737,11.5698946253949,,L6 district
Sweden,Bohuslän,Norum,,,SE,Västra Götalands län,Stenungsund,58.0536939660054,11.8552767036999,,L6 district
Sweden,Bohuslän,Näsinge,,,SE,Västra Götalands län,Strömstad,59.0118005396018,11.3348700497208,,L6 district
Sweden,Bohuslän,Resteröd,,,SE,Västra Götalands län,Uddevalla,58.259183362806,11.881080635063,,L6 district
Sweden,Bohuslän,Romelanda,,,SE,Västra Götalands län,Kungälv,57.9237060278324,12.0251524199775,,L6 district
Sweden,Bohuslän,Rödbo,,,SE,Västra Götalands län,Göteborg,57.8567055044359,11.9968665677394,,L6 district
Sweden,Bohuslän,Rönnäng,,,SE,Västra Götalands län,Tjörn,57.9353983124748,11.5891647543807,,L6 district
Sweden,Bohuslän,Röra,,,SE,Västra Götalands län,Orust,58.1910004054002,11.6230441838376,,L6 district
Sweden,Bohuslän,Sanne,,,SE,Västra Götalands län,Munkedal,58.6740843721834,11.8797359267004,,L6 district
Sweden,Bohuslän,Skaftö,,koordinat = Grundsunds kyrka,SE,Västra Götalands län,Lysekil,58.212365787115,11.420787837761,koordinat = Grundsunds kyrka,L6 district
Sweden,Bohuslän,Skee,,,SE,Västra Götalands län,Strömstad,58.9378503855573,11.2822581852504,,L6 district
Sweden,Bohuslän,Skredsvik,,,SE,Västra Götalands län,Uddevalla,58.3801721439647,11.6732784718525,,L6 district
Sweden,Bohuslän,Smögen,,,SE,Västra Götalands län,Sotenäs,58.3563575386368,11.2276470205208,,L6 district
Sweden,Bohuslän,Solberga,,,SE,Västra Götalands län,Kungälv,57.9411020414384,11.8203211457131,,L6 district
Sweden,Bohuslän,Spekeröd,,,SE,Västra Götalands län,Stenungsund,58.0325038345817,11.8699387499902,,L6 district
Sweden,Bohuslän,Stala,,,SE,Västra Götalands län,Orust,58.139391899228,11.664911119869,,L6 district
Sweden,Bohuslän,Stenkyrka,,,SE,Västra Götalands län,Tjörn,58.0121860848747,11.6256647392174,,L6 district
Sweden,Bohuslän,Strömstad,,,SE,Västra Götalands län,Strömstad,58.9386070132468,11.1780610571577,,L6 district
Sweden,Bohuslän,Svarteborg,,,SE,Västra Götalands län,Munkedal,58.5582727780506,11.5662135011664,,L6 district
Sweden,Bohuslän,Svenneby,,,SE,Västra Götalands län,Tanum,58.5084960392988,11.3228161294928,,L6 district
Sweden,Bohuslän,Säve,,,SE,Västra Götalands län,Göteborg,57.8032200653133,11.9207203702466,,L6 district
Sweden,Bohuslän,Tanum,,,SE,Västra Götalands län,Tanum,58.7165032391656,11.3350315650368,,L6 district
Sweden,Bohuslän,Tegneby,,,SE,Västra Götalands län,Orust,58.1516227105062,11.5954502185532,,L6 district
Sweden,Bohuslän,Tjärnö,,,SE,Västra Götalands län,Strömstad,58.8749511183185,11.1560246716328,,L6 district
Sweden,Bohuslän,Torp,,,SE,Västra Götalands län,Orust,58.2489662195413,11.724259498668,,L6 district
Sweden,Bohuslän,Torsby,,,SE,Västra Götalands län,Kungälv,57.8417346228132,11.7824737515185,,L6 district
Sweden,Bohuslän,Torslanda,,,SE,Västra Götalands län,Göteborg,57.7253857930321,11.7715128096342,,L6 district
Sweden,Bohuslän,Tossene,,,SE,Västra Götalands län,Sotenäs,58.4461987307067,11.3776509271057,,L6 district
Sweden,Bohuslän,Ucklum,,,SE,Västra Götalands län,Stenungsund,58.0848900951993,11.9571425790717,,L6 district
Sweden,Bohuslän,Uddevalla,,,SE,Västra Götalands län,Uddevalla,58.3482775573198,11.9426991408496,,L6 district
Sweden,Bohuslän,Valla,,,SE,Västra Götalands län,Tjörn,58.0426494690692,11.7186638359011,,L6 district
Sweden,Bohuslän,Västerlanda,,,SE,Västra Götalands län,Lilla Edet,58.0909170794716,12.122431144039,,L6 district
Sweden,Bohuslän,Ytterby,,,SE,Västra Götalands län,Kungälv,57.8618114753934,11.9234532312859,,L6 district
Sweden,Bohuslän,Öckerö,,,SE,Västra Götalands län,Öckerö,57.7086011448186,11.6472659729646,,L6 district
Sweden,Bohuslän,Ödsmål,,,SE,Västra Götalands län,Stenungsund,58.1049216148463,11.8494987635189,,L6 district
Sweden,Dalarna,,Dlr,,SE,,,,,,L5 province
Sweden,Dalarna,Aspeboda,,,SE,Dalarnas län,Falun,60.5599589857129,15.4972878012289,,L6 district
Sweden,Dalarna,Avesta,,,SE,Dalarnas län,Avesta,60.1498634733266,16.1701045531548,,L6 district
Sweden,Dalarna,Bjursås,,,SE,Dalarnas län,Falun,60.7383540766997,15.4533416674643,,L6 district
Sweden,Dalarna,Boda,,,SE,Dalarnas län,Rättvik,61.0118243977845,15.2116448850025,,L6 district
Sweden,Dalarna,By,,,SE,Dalarnas län,Avesta,60.2023754766037,16.4810837282024,,L6 district
Sweden,Dalarna,Djura,,,SE,Dalarnas län,Leksand,60.6123005137329,15.004504509446,,L6 district
Sweden,Dalarna,Enviken,,,SE,Dalarnas län,Falun,60.8071415003334,15.7713853264468,,L6 district
Sweden,Dalarna,Falun,,Kristine + Hosjö,SE,Dalarnas län,Falun,60.6084436777819,15.6337332664976,Kristine + Hosjö,L6 district
Sweden,Dalarna,Floda,,,SE,Dalarnas län,Gagnef,60.5087206364057,14.8018308887174,,L6 district
Sweden,Dalarna,Folkärna,,,SE,Dalarnas län,Avesta,60.1531675283618,16.3174014981924,,L6 district
Sweden,Dalarna,Gagnef,,,SE,Dalarnas län,Gagnef,60.5905265042915,15.0622789906463,,L6 district
Sweden,Dalarna,Garpenberg,,,SE,Dalarnas län,Hedemora,60.3160555476398,16.2073921444005,,L6 district
Sweden,Dalarna,Grangärde,,,SE,Dalarnas län,Ludvika,60.2621679151629,14.9839072562575,,L6 district
Sweden,Dalarna,Grytnäs,,,SE,Dalarnas län,Avesta,60.1678918716733,16.2240412705422,,L6 district
Sweden,Dalarna,Grängesberg,,,SE,Dalarnas län,Ludvika,60.0787503431578,15.0057918320073,,L6 district
Sweden,Dalarna,Gustafs,,,SE,Dalarnas län,Säter,60.4138204540679,15.6113626227261,,L6 district
Sweden,Dalarna,Hamra,,,SE,Gävleborgs län,Ljusdal,61.6562186486951,14.9987674039108,,L6 district
Sweden,Dalarna,Hedemora,,,SE,Dalarnas län,Hedemora,60.2782216330656,15.994815518215,,L6 district
Sweden,Dalarna,Husby,,,SE,Dalarnas län,Hedemora,60.3890847067275,16.0033568532178,,L6 district
Sweden,Dalarna,Idre,,delvis i Härjedalen,SE,Dalarnas län,Älvdalen,61.8572485744079,12.7284446212067,delvis i Härjedalen,L6 district
Sweden,Dalarna,Järna,,,SE,Dalarnas län,Vansbro,60.5443101783038,14.3682113936413,,L6 district
Sweden,Dalarna,Leksand,,,SE,Dalarnas län,Leksand,60.7317762762393,14.98549931124,,L6 district
Sweden,Dalarna,Lima,,,SE,Dalarnas län,Malung,60.9335233350084,13.3644133073609,,L6 district
Sweden,Dalarna,Ludvika,,,SE,Dalarnas län,Ludvika,60.1538850837396,15.1912780764852,,L6 district
Sweden,Dalarna,Malung,,här ligger Tyngsjö,SE,Dalarnas län,Malung,60.6689443568691,13.734644016882,här ligger Tyngsjö,L6 district
Sweden,Dalarna,Mockfjärd,,,SE,Dalarnas län,Gagnef,60.4990511820735,14.9676538143113,,L6 district
Sweden,Dalarna,Mora,,,SE,Dalarnas län,Mora,61.0079117239396,14.544027149507,,L6 district
Sweden,Dalarna,Norrbärke,,,SE,Dalarnas län,Smedjebacken,60.1424836866722,15.4268929526033,,L6 district
Sweden,Dalarna,Nås,,,SE,Dalarnas län,Vansbro,60.4532334672558,14.4960733480458,,L6 district
Sweden,Dalarna,Ore,,,SE,Dalarnas län,Rättvik,61.1389034813484,15.1748653257981,,L6 district
Sweden,Dalarna,Orsa,,,SE,Dalarnas län,Orsa,61.1207451077125,14.6171264299975,,L6 district
Sweden,Dalarna,Rättvik,,,SE,Dalarnas län,Rättvik,60.8914894831881,15.099254135649,,L6 district
Sweden,Dalarna,Siljansnäs,,,SE,Dalarnas län,Leksand,60.7771734460565,14.8634753045898,,L6 district
Sweden,Dalarna,Silvberg,,,SE,Dalarnas län,Säter,60.3617625799178,15.5039977322638,,L6 district
Sweden,Dalarna,Sollerön,,,SE,Dalarnas län,Mora,60.9166231020624,14.6202905730393,,L6 district
Sweden,Dalarna,Stora Kopparberg,,,SE,Dalarnas län,Falun,60.6150840697715,15.6323641681129,,L6 district
Sweden,Dalarna,Stora Skedvi,,,SE,Dalarnas län,Säter,60.4072607711301,15.8073159938379,,L6 district
Sweden,Dalarna,Stora Tuna,,här ligger Borlänge,SE,Dalarnas län,Borlänge,60.4525586735229,15.4781620062538,här ligger Borlänge,L6 district
Sweden,Dalarna,Sundborn,,,SE,Dalarnas län,Falun,60.6575366138388,15.7835348310777,,L6 district
Sweden,Dalarna,Svartnäs,,,SE,Dalarnas län,Falun,60.9149376181132,16.1403438040289,,L6 district
Sweden,Dalarna,Svärdsjö,,,SE,Dalarnas län,Falun,60.7525420412249,15.9245263054821,,L6 district
Sweden,Dalarna,Säfsnäs,,,SE,Dalarnas län,Ludvika,60.1410762450366,14.4289566138768,,L6 district
Sweden,Dalarna,Särna,,,SE,Dalarnas län,Älvdalen,61.6949588114038,13.1426730096341,,L6 district
Sweden,Dalarna,Säter,,,SE,Dalarnas län,Säter,60.3460299573154,15.7495015883774,,L6 district
Sweden,Dalarna,Söderbärke,,inkl fd Malingsbo,SE,Dalarnas län,Smedjebacken,60.0757873164356,15.5685596053207,inkl fd Malingsbo,L6 district
Sweden,Dalarna,Torsång,,,SE,Dalarnas län,Borlänge,60.4647339108083,15.5729875527979,,L6 district
Sweden,Dalarna,Transtrand,,,SE,Dalarnas län,Malung,61.088925207626,13.315712791458,,L6 district
Sweden,Dalarna,Venjan,,,SE,Dalarnas län,Mora,60.9519049373284,13.9104175709571,,L6 district
Sweden,Dalarna,Vika,,,SE,Dalarnas län,Falun,60.5140991965332,15.7171174249357,,L6 district
Sweden,Dalarna,Våmhus,,,SE,Dalarnas län,Mora,61.1243850145235,14.4752355390045,,L6 district
Sweden,Dalarna,Älvdalen,,,SE,Dalarnas län,Älvdalen,61.2268826946147,14.0442278614039,,L6 district
Sweden,Dalarna,Äppelbo,,,SE,Dalarnas län,Vansbro,60.490157177446,14.0074576209525,,L6 district
Sweden,Dalarna,Ål,,,SE,Dalarnas län,Leksand,60.6833369382295,15.1063644895434,,L6 district
Sweden,Dalsland,,Dls,,SE,,,,,,L5 province
Sweden,Dalsland,Bolstad,,,SE,Västra Götalands län,Mellerud,58.5764309624466,12.4861460719262,,L6 district
Sweden,Dalsland,Brålanda,,,SE,Västra Götalands län,Vänersborg,58.5693084130326,12.3826557687698,,L6 district
Sweden,Dalsland,Bäcke,,,SE,Västra Götalands län,Bengtsfors,58.7952418633912,12.1669496810282,,L6 district
Sweden,Dalsland,Dals-Ed,,,SE,Västra Götalands län,Dals-Ed,58.9063051369077,11.940826830988,,L6 district
Sweden,Dalsland,Dalskog,,,SE,Västra Götalands län,Mellerud,58.7464543961989,12.2911834023728,,L6 district
Sweden,Dalsland,Edsleskog,,,SE,Västra Götalands län,Åmål,59.0547282318609,12.4699348243593,,L6 district
Sweden,Dalsland,Erikstad,,,SE,Västra Götalands län,Mellerud,58.6102088877286,12.4034666674288,,L6 district
Sweden,Dalsland,Frändefors,,,SE,Västra Götalands län,Vänersborg,58.4970091741858,12.280361085156,,L6 district
Sweden,Dalsland,Fröskog,,,SE,Västra Götalands län,Åmål,58.9788612855752,12.4694169684888,,L6 district
Sweden,Dalsland,Färgelanda,,,SE,Västra Götalands län,Färgelanda,58.5736459250167,11.9934589460971,,L6 district
Sweden,Dalsland,Gestad,,,SE,Västra Götalands län,Vänersborg,58.5500480264413,12.4536285206654,,L6 district
Sweden,Dalsland,Gesäter,,,SE,Västra Götalands län,Dals-Ed,58.786612905516,11.8397103173084,,L6 district
Sweden,Dalsland,Grinstad,,,SE,Västra Götalands län,Mellerud,58.6239546254037,12.5133291357185,,L6 district
Sweden,Dalsland,Gunnarsnäs,,,SE,Västra Götalands län,Mellerud,58.7258898038614,12.3860637462063,,L6 district
Sweden,Dalsland,Holm,,,SE,Västra Götalands län,Mellerud,58.7132626531648,12.4722454115303,,L6 district
Sweden,Dalsland,Håbol,,,SE,Västra Götalands län,Dals-Ed,58.9722984271075,12.0263695796192,,L6 district
Sweden,Dalsland,Högsäter,,,SE,Västra Götalands län,Färgelanda,58.6471445088871,12.0593161735301,,L6 district
Sweden,Dalsland,Järbo,,,SE,Västra Götalands län,Färgelanda,58.7287722980808,12.141519061363,,L6 district
Sweden,Dalsland,Järn,,,SE,Västra Götalands län,Mellerud,58.6684035033267,12.5006478511446,,L6 district
Sweden,Dalsland,Laxarby,,,SE,Västra Götalands län,Bengtsfors,59.0313631969453,12.3261801999352,,L6 district
Sweden,Dalsland,Lerdal,,,SE,Västra Götalands län,Färgelanda,58.7588033734573,11.8967204574016,,L6 district
Sweden,Dalsland,Mo,,,SE,Västra Götalands län,Åmål,59.0983254146641,12.6488917476054,,L6 district
Sweden,Dalsland,Nössemark,,,SE,Västra Götalands län,Dals-Ed,59.1347334107647,11.838097519786,,L6 district
Sweden,Dalsland,Rännelanda,,,SE,Västra Götalands län,Färgelanda,58.6906336570816,11.9962889863884,,L6 district
Sweden,Dalsland,Råggärd,,,SE,Västra Götalands län,Färgelanda,58.7629542553302,12.0355552916154,,L6 district
Sweden,Dalsland,Rölanda,,,SE,Västra Götalands län,Dals-Ed,58.8426008322563,11.9169694474844,,L6 district
Sweden,Dalsland,Skållerud,,,SE,Västra Götalands län,Mellerud,58.7812023051358,12.4291421663369,,L6 district
Sweden,Dalsland,Steneby,,,SE,Västra Götalands län,Bengtsfors,58.9341872897015,12.2096588551393,,L6 district
Sweden,Dalsland,Sundals-Ryr,,,SE,Västra Götalands län,Vänersborg,58.5743944169145,12.2372153254908,,L6 district
Sweden,Dalsland,Svanskog,,en del (inkl kyrkan) ligger i Värmland,SE,Värmlands län,Säffle,,,en del (inkl kyrkan) ligger i Värmland,L6 district
Sweden,Dalsland,Tisselskog,,,SE,Västra Götalands län,Bengtsfors,58.9086885337641,12.3983134390219,,L6 district
Sweden,Dalsland,Torp,,,SE,Västra Götalands län,Färgelanda,58.51668414397,11.9529947496314,,L6 district
Sweden,Dalsland,Torrskog,,,SE,Västra Götalands län,Bengtsfors,59.1702909514941,12.0836605981514,,L6 district
Sweden,Dalsland,Töftedal,,,SE,Västra Götalands län,Dals-Ed,58.8464032662973,11.7891922338826,,L6 district
Sweden,Dalsland,Tösse med Tydje,,,SE,Västra Götalands län,Åmål,58.9758762024539,12.6239920400903,,L6 district
Sweden,Dalsland,Valbo-Ryr,,,SE,Västra Götalands län,Munkedal,58.4934102321231,11.8177933347682,,L6 district
Sweden,Dalsland,Vårvik,,,SE,Västra Götalands län,Bengtsfors,59.1838381152201,12.2125737628887,,L6 district
Sweden,Dalsland,Ärtemark,,,SE,Västra Götalands län,Bengtsfors,59.0299505460064,12.1763219470913,,L6 district
Sweden,Dalsland,Åmål,,,SE,Västra Götalands län,Åmål,59.0563123028556,12.7060729899206,,L6 district
Sweden,Dalsland,Ånimskog,,,SE,Västra Götalands län,Åmål,58.8922487822285,12.5445295333674,,L6 district
Sweden,Dalsland,Ödeborg,,,SE,Västra Götalands län,Färgelanda,58.5444030157374,11.994784403046,,L6 district
Sweden,Dalsland,Ödskölt,,,SE,Västra Götalands län,Bengtsfors,58.8528361857992,12.1633778621318,,L6 district
Sweden,Dalsland,Ör,,,SE,Västra Götalands län,Mellerud,58.665312214669,12.3433129454597,,L6 district
Sweden,Gotland,,Gtl,,SE,,,,,,L5 province
Sweden,Gotland,Akebäck,,,SE,Gotlands län,Gotland,57.5476847870844,18.3956706234293,,L6 district
Sweden,Gotland,Ala,,,SE,Gotlands län,Gotland,57.4192722766002,18.6384680887046,,L6 district
Sweden,Gotland,Alskog,,,SE,Gotlands län,Gotland,57.3316942363579,18.6305296209286,,L6 district
Sweden,Gotland,Alva,,,SE,Gotlands län,Gotland,57.2077184303037,18.3646740196507,,L6 district
Sweden,Gotland,Anga,,,SE,Gotlands län,Gotland,57.4806353337831,18.7097737029549,,L6 district
Sweden,Gotland,Ardre,,,SE,Gotlands län,Gotland,57.3797444582686,18.700248018132,,L6 district
Sweden,Gotland,Atlingbo,,,SE,Gotlands län,Gotland,57.4801940710151,18.3940301464075,,L6 district
Sweden,Gotland,Barlingbo,,,SE,Gotlands län,Gotland,57.5647953684125,18.4663495802089,,L6 district
Sweden,Gotland,Björke,,,SE,Gotlands län,Gotland,57.5076827807059,18.4246522265528,,L6 district
Sweden,Gotland,Boge,,,SE,Gotlands län,Gotland,57.6872922392391,18.7663293160202,,L6 district
Sweden,Gotland,Bro,,,SE,Gotlands län,Gotland,57.6703546040147,18.4780974734587,,L6 district
Sweden,Gotland,Bunge,,,SE,Gotlands län,Gotland,57.8540349061613,19.0268649679404,,L6 district
Sweden,Gotland,Burs,,,SE,Gotlands län,Gotland,57.2458911993114,18.5119054075305,,L6 district
Sweden,Gotland,Buttle,,,SE,Gotlands län,Gotland,57.4029684129564,18.53322638938,,L6 district
Sweden,Gotland,Bäl,,,SE,Gotlands län,Gotland,57.6450755902971,18.6362096227397,,L6 district
Sweden,Gotland,Dalhem,,,SE,Gotlands län,Gotland,57.5526966165873,18.5373511748354,,L6 district
Sweden,Gotland,Eke,,,SE,Gotlands län,Gotland,57.1682485551549,18.3823230192761,,L6 district
